id,Timestamp,Station,Temperature,Humidity
212,2002-01-05 11:00,Changi,30.00,70.27
213,2002-01-05 11:30,Changi,29.00,70.08
214,2002-01-05 12:00,Changi,31.00,62.47
215,2002-01-05 12:30,Changi,31.00,62.47
216,2002-01-05 13:00,Changi,31.00,62.47
217,2002-01-05 13:30,Changi,30.00,66.15
218,2002-01-05 14:00,Changi,30.00,66.15
219,2002-01-05 14:30,Changi,31.00,58.78
220,2002-01-05 15:00,Changi,30.00,66.15
221,2002-01-05 15:30,Changi,30.00,66.15
222,2002-01-05 16:00,Changi,30.00,66.15
223,2002-01-05 16:30,Changi,29.00,74.44
224,2002-01-05 17:00,Changi,29.00,70.08
225,2002-01-05 17:30,Changi,29.00,74.44
226,2002-01-05 18:00,Changi,28.00,78.90
227,2002-01-05 18:30,Changi,28.00,78.90
228,2002-01-05 19:00,Changi,28.00,78.90
229,2002-01-05 19:30,Changi,27.00,83.66
230,2002-01-05 20:00,Changi,26.00,88.75
231,2002-01-05 20:30,Changi,26.00,88.75
232,2002-01-05 21:00,Changi,26.00,88.75
233,2002-01-05 21:30,Changi,26.00,88.75
234,2002-01-05 22:00,Changi,26.00,88.75
235,2002-01-05 22:30,Changi,26.00,94.23
236,2002-01-05 23:00,Changi,26.00,94.23
237,2002-01-05 23:30,Changi,26.00,88.75
238,2002-01-06 00:00,Changi,26.00,94.23
239,2002-01-06 00:30,Changi,26.00,94.23
240,2002-01-06 01:00,Changi,26.00,94.23
241,2002-01-06 01:30,Changi,26.00,88.75
242,2002-01-06 02:00,Changi,26.00,88.75
243,2002-01-06 02:30,Changi,26.00,88.75
244,2002-01-06 03:00,Changi,26.00,88.75
245,2002-01-06 03:30,Changi,26.00,88.75
246,2002-01-06 04:00,Changi,26.00,88.75
247,2002-01-06 04:30,Changi,26.00,94.23
248,2002-01-06 05:00,Changi,26.00,94.23
249,2002-01-06 05:30,Changi,26.00,88.75
250,2002-01-06 06:00,Changi,26.00,88.75
251,2002-01-06 06:30,Changi,26.00,88.75
252,2002-01-06 07:00,Changi,26.00,88.75
253,2002-01-06 07:30,Changi,26.00,88.75
254,2002-01-06 08:00,Changi,26.00,94.23
255,2002-01-06 08:30,Changi,26.00,94.23
256,2002-01-06 09:00,Changi,27.00,88.83
257,2002-01-06 09:30,Changi,28.00,83.77
258,2002-01-06 10:00,Changi,28.00,83.77
259,2002-01-06 10:30,Changi,29.00,79.04
260,2002-01-06 11:00,Changi,29.00,74.44
261,2002-01-06 11:30,Changi,30.00,74.61
262,2002-01-06 12:00,Changi,30.00,70.27
263,2002-01-06 12:30,Changi,29.00,74.44
264,2002-01-06 13:00,Changi,29.00,79.04
265,2002-01-06 13:30,Changi,27.00,94.27
266,2002-01-06 14:00,Changi,29.00,79.04
267,2002-01-06 14:30,Changi,29.00,79.04
268,2002-01-06 15:00,Changi,29.00,74.44
269,2002-01-06 15:30,Changi,30.00,70.27
270,2002-01-06 16:00,Changi,30.00,70.27
271,2002-01-06 16:30,Changi,30.00,70.27
272,2002-01-06 17:00,Changi,30.00,74.61
273,2002-01-06 17:30,Changi,28.00,78.90
274,2002-01-06 18:00,Changi,28.00,78.90
275,2002-01-06 18:30,Changi,28.00,78.90
276,2002-01-06 19:00,Changi,27.00,83.66
277,2002-01-06 19:30,Changi,27.00,88.83
278,2002-01-06 20:00,Changi,27.00,83.66
279,2002-01-06 20:30,Changi,27.00,83.66
280,2002-01-06 21:00,Changi,27.00,83.66
281,2002-01-06 21:30,Changi,26.00,88.75
282,2002-01-06 22:00,Changi,26.00,88.75
283,2002-01-06 22:30,Changi,26.00,88.75
284,2002-01-06 23:00,Changi,26.00,94.23
285,2002-01-06 23:30,Changi,26.00,88.75
286,2002-01-07 00:00,Changi,26.00,94.23
287,2002-01-07 00:30,Changi,26.00,94.23
288,2002-01-07 01:00,Changi,26.00,94.23
289,2002-01-07 01:30,Changi,26.00,94.23
290,2002-01-07 02:00,Changi,26.00,94.23
291,2002-01-07 02:30,Changi,26.00,94.23
292,2002-01-07 03:00,Changi,26.00,94.23
293,2002-01-07 03:30,Changi,26.00,94.23
294,2002-01-07 04:00,Changi,26.00,88.75
295,2002-01-07 04:30,Changi,26.00,88.75
296,2002-01-07 05:00,Changi,26.00,88.75
297,2002-01-07 05:30,Changi,27.00,83.66
298,2002-01-07 06:00,Changi,26.00,88.75
299,2002-01-07 06:30,Changi,25.00,94.19
300,2002-01-07 07:00,Changi,25.00,94.19
301,2002-01-07 07:30,Changi,25.00,94.19
302,2002-01-07 08:00,Changi,25.00,94.19
303,2002-01-07 08:30,Changi,25.00,94.19
304,2002-01-07 09:00,Changi,26.00,88.75
305,2002-01-07 09:30,Changi,26.00,94.23
306,2002-01-07 10:00,Changi,27.00,88.83
307,2002-01-07 10:30,Changi,28.00,78.90
308,2002-01-07 11:00,Changi,28.00,78.90
309,2002-01-07 11:30,Changi,29.00,79.04
310,2002-01-07 12:00,Changi,29.00,74.44
311,2002-01-07 12:30,Changi,30.00,70.27
312,2002-01-07 13:00,Changi,30.00,70.27
313,2002-01-07 13:30,Changi,29.00,74.44
314,2002-01-07 14:00,Changi,30.00,74.61
315,2002-01-07 14:30,Changi,29.00,74.44
316,2002-01-07 15:00,Changi,28.00,74.28
317,2002-01-07 15:30,Changi,28.00,74.28
318,2002-01-07 16:00,Changi,28.00,78.90
319,2002-01-07 16:30,Changi,29.00,74.44
320,2002-01-07 17:00,Changi,29.00,70.08
321,2002-01-07 17:30,Changi,28.00,74.28
322,2002-01-07 18:00,Changi,28.00,78.90
323,2002-01-07 18:30,Changi,28.00,78.90
324,2002-01-07 19:00,Changi,27.00,83.66
325,2002-01-07 19:30,Changi,27.00,83.66
326,2002-01-07 20:00,Changi,27.00,83.66
327,2002-01-07 20:30,Changi,27.00,83.66
